prod.spot_author_loves_count,Name:likes,prod.spot_author_loves_count,Name:likes
prod.unique_followers_per_day_count,Name:follows,prod.unique_followers_per_day_count,
prod.hashtag_views,Name:views,prod.hashtag_views,
prod.withdrawal,Name:tokenomics,prod.withdrawal,
prod.user_paid_session,Name:tokenomics,prod.user_paid_session,
prod.comment_votes,Name:comments,prod.comment_votes,
prod.share_content,Name:shares,prod.share_content,
prod.push_admin_messages,Name:notifications,prod.push_admin_messages,
prod.loves_count,Name:likes,prod.loves_count,
prod.user,Name:users,prod.user,
prod.creators,Name:users,prod.creators,
prod.view_content,Name:views,prod.view_content,
prod.category_views,Name:views,prod.category_views,
prod.content,Name:content,prod.content,
prod.follows,Name:follows,prod.follows,
prod.email,Name:notifications,prod.email,
prod.likes_received_by_user_count,Name:likes,prod.likes_received_by_user_count,
prod.content_comments_counter,Name:comments,prod.content_comments_counter,
prod.referrer_verified,Name:users,prod.referrer_verified,
prod.push_messages,Name:notifications,prod.push_messages,
prod.crm_user,Name:users,prod.crm_user,
prod.user_shares_stats_update,Name:shares,prod.user_shares_stats_update,
prod.uploads_stats_update,Name:content,prod.uploads_stats_update,
prod.comments,Name:comments,prod.comments,
prod.loves_count,Name:likes,prod.view_stats_update,
prod.view_stats_update,Name:views,prod.dislikes_count,
prod.dislikes_count,Name:likes,prod.content_user_stats,
prod.content_user_stats,Name:content,prod.total_watch_time,
prod.follows,Name:follows,prod.user_social_subs,
prod.unique_followers_per_day_count,Name:follows,prod.user_blocked,
prod.total_watch_time,Name:views,prod.views_received_by_user_count,
prod.content_comments_counter,Name:comments,prod.content_paid_time_increased,
prod.category_views,Name:views,prod.user_comments_counter,
prod.user_social_subs,Name:users,prod.user_points_stats_update,
prod.user_blocked,Name:users,prod.follows_counter,
prod.views_received_by_user_count,Name:views,prod.spot_author_dislikes_count,
prod.content_user_stats,Name:content,prod.music_author_likes_count,
prod.content_paid_time_increased,Name:tokenomics,prod.handler_sending_queue,
prod.creators,Name:content,prod.music_author_loves_count,
prod.email,Name:notifications,prod.new_config,
prod.user_comments_counter,Name:comments,prod.notification_created,
prod.user_comments_counter,Name:comments,prod.likes,
prod.creators,Name:users,prod.spot_author_likes_count,
prod.comment_votes,Name:comments,prod.music_author_dislikes_count,
prod.content_paid_time_increased,Name:tokenomics,prod.category_subscription,
prod.user_points_stats_update,Name:tokenomics,prod.hashtag_subscription,
prod.likes_received_by_user_count,Name:likes,prod.feature_bought,
prod.follows_counter,Name:follows,prod.top_spots,
prod.spot_author_dislikes_count,Name:likes,prod.content_predictions,
prod.music_author_likes_count,Name:content,prod.today_watch_time,
prod.handler_sending_queue,Name:notifications,prod.profile,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,
prod.profile,Name:users,,
prod.spot_author_loves_count,Name:likes,,
prod.unique_followers_per_day_count,Name:follows,,
prod.hashtag_views,Name:views,,
prod.withdrawal,Name:tokenomics,,
prod.user_paid_session,Name:tokenomics,,
prod.comment_votes,Name:comments,,
prod.share_content,Name:shares,,
prod.push_admin_messages,Name:notifications,,
prod.loves_count,Name:likes,,
prod.user,Name:users,,
prod.creators,Name:users,,
prod.view_content,Name:views,,
prod.category_views,Name:views,,
prod.content,Name:content,,
prod.follows,Name:follows,,
prod.email,Name:notifications,,
prod.likes_received_by_user_count,Name:likes,,
prod.content_comments_counter,Name:comments,,
prod.referrer_verified,Name:users,,
prod.push_messages,Name:notifications,,
prod.crm_user,Name:users,,
prod.user_shares_stats_update,Name:shares,,
prod.uploads_stats_update,Name:content,,
prod.comments,Name:comments,,
prod.loves_count,Name:likes,,
prod.view_stats_update,Name:views,,
prod.dislikes_count,Name:likes,,
prod.content_user_stats,Name:content,,
prod.follows,Name:follows,,
prod.unique_followers_per_day_count,Name:follows,,
prod.total_watch_time,Name:views,,
prod.content_comments_counter,Name:comments,,
prod.category_views,Name:views,,
prod.user_social_subs,Name:users,,
prod.user_blocked,Name:users,,
prod.views_received_by_user_count,Name:views,,
prod.content_user_stats,Name:content,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.creators,Name:content,,
prod.email,Name:notifications,,
prod.user_comments_counter,Name:comments,,
prod.user_comments_counter,Name:comments,,
prod.creators,Name:users,,
prod.comment_votes,Name:comments,,
prod.content_paid_time_increased,Name:tokenomics,,
prod.user_points_stats_update,Name:tokenomics,,
prod.likes_received_by_user_count,Name:likes,,
prod.follows_counter,Name:follows,,
prod.spot_author_dislikes_count,Name:likes,,
prod.music_author_likes_count,Name:content,,
prod.handler_sending_queue,Name:notifications,,
prod.music_author_loves_count,Name:content,,
prod.crm_user,Name:users,,
prod.new_config,Name:config,,
prod.notification_created,Name:notifications,,
prod.new_config,Name:config,,
prod.uploads_stats_update,Name:content,,
prod.likes,Name:likes,,
prod.push_admin_messages,Name:notifications,,
prod.spot_author_likes_count,Name:likes,,
prod.music_author_dislikes_count,Name:content,,
prod.category_subscription,Name:category,,
prod.hashtag_subscription,Name:hashtags,,
prod.dislikes_count,Name:likes,,
prod.notification_created,Name:notifications,,
prod.feature_bought,Name:tokenomics,,
prod.views_received_by_user_count,Name:views,,
prod.top_spots,Name:content,,
prod.spot_author_likes_count,Name:likes,,
prod.hashtag_views,Name:views,,
prod.music_author_dislikes_count,Name:content,,
prod.withdrawal,Name:tokenomics,,
prod.content_predictions,Name:content,,
prod.content,Name:content,,
prod.user_social_subs,Name:users,,
prod.today_watch_time,Name:views,,
prod.comments,Name:comments,,
prod.total_watch_time,Name:views,,